HHKEY,ZIP_CODE,Num_Purchases,TotalSpend,Credit Card User,Average_Spend,PC_CALC20,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,Pother,PROMOS,DaysonFile,BeteenPurchases,MARKDOWN,COUPONS,STORES,WEB,MAILED,RESPONDED,RESPONSERATE,DiversitySpend,Perc_Returns,RESP
9960000000019,1451,1,99,No,99,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,269,269,0.5,0,1,0,0,0,0,100,0,0
9960000000020,1453,1,140.39,Yes,140.39,16,0.61,0,0,0.25,0,0,0,0,0,0,0,0,0.12,0,0.02,16,342,342,0.14,0,2,0,5,0,0,46.09,0,0
9960000000021,1503,8,1250.23,Yes,156.27,19,0.25,0.01,0.12,0.001666,0.21,0.24,0.005528,0.01,0.01,0,0,0.002211,0,0.002764,0.137831,27,586,73.25,0.21,2,5,0,9,3,33.33,18.5,0.08,0
9960000000022,1543,10,591.95,Yes,59.19,16,0.21,0.11,0,0.16,0,0,0.05,0.16,0.28,0,0,0,0,0,0.03,19,702,70.2,0.13,0,4,0,10,5,50,19.77,0,0
9960000000023,1535,3,538.81,Yes,179.6,16,0.29,0.07,0.36,0,0.14,0,0.08,0,0,0,0,0,0,0,0.06,15,380,126.66,0.03,0,2,0,8,0,0,25.05,0.04,0
9960000000024,1570,1,255.46,Yes,255.46,16,0,0,0,0.06,0.6,0.1,0,0,0.19,0,0,0,0,0.02,0.03,8,76,76,0.2,0,2,0,3,0,0,57.23,0,0
9960000000025,1532,4,543.24,Yes,135.81,16,0.2,0.06,0,0.18,0.08,0.11,0.08,0.03,0.09,0,0,0,0,0.02,0.15,22,522,130.5,0.23,0,2,0,10,2,20,11.76,0.12,0
9960000000026,1510,9,501.23,Yes,55.69,16,0.42,0,0,0,0.21,0,0,0.06,0.06,0,0,0,0.01,0,0.24,20,684,76,0.29,1,2,1,10,5,50,23.63,0.27,0
9960000000027,1566,6,577.94,No,96.32,16,0.19,0,0,0,0.09,0.08,0.3,0,0.22,0,0,0,0.04,0,0.08,16,518,86.33,0.05,0,2,0,9,2,22.22,20.12,0.04,0
9960000000028,1545,4,405.98,No,101.49,11,0.45,0,0,0.09,0,0.31,0,0.13,0,0,0,0,0,0,0.02,19,362,90.5,0.08,0,2,0,6,2,33.33,33.28,0,0
9960000000029,1540,6,459.48,Yes,76.58,11,0.14,0.11,0,0.03,0,0,0.19,0,0.33,0,0,0,0.07,0,0.13,15,687,114.5,0.1,1,2,0,8,3,37.5,18.69,0.12,1
9960000000030,1520,1,114,No,114,11,0,0,0,0,0,0,0,0,0.85,0,0,0.08,0,0.05,0.02,12,588,588,0,0,2,0,4,1,25,74.94,0,0
9960000000031,1545,1,83.97,No,83.97,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,78,78,0.3,0,1,0,0,0,0,100,0,0
9960000000032,1588,9,870.08,Yes,96.67,16,0.48,0,0.11,0.05,0.08,0,0.07,0,0.09,0,0,0.04,0.04,0,0.04,9,265,29.44,0.08,0,2,0,2,0,0,27.78,0,1
9960000000033,1545,5,244.87,No,48.97,11,0,0.12,0,0,0.12,0.48,0.06,0.2,0,0,0,0,0,0,0.02,23,563,112.6,0.12,0,4,0,10,2,20,77.31,0,0
9960000000034,1588,6,273.98,Yes,45.66,16,0,0.13,0.39,0,0.18,0,0,0.1,0,0,0,0,0,0.04,0.16,9,639,106.5,0.19,2,3,0,1,0,0,22.26,0.15,0
9960000000035,1569,15,1350.36,Yes,90.02,11,0.27,0.00191,0,0,0.37,0.22,0,0,0,0,0,0,0.04,0,0.09809,25,693,46.2,0.29,3,5,0,10,5,50,28.8,0.06,0
9960000000036,1571,1,96,No,96,11,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,10,660,660,0.2,0,1,0,4,1,25,92.09,0,0
9960000000037,1527,6,786.9,Yes,131.15,11,0.16,0.01,0,0.26,0.23,0.16,0.004219,0.06,0,0,0,0,0.03,0.05,0.035781,28,663,110.5,0.18,2,3,0,10,0,0,19.28,0,0
9960000000038,1520,5,408.93,No,81.78,16,0.42,0.17,0.11,0,0,0,0.03,0.06,0,0,0,0,0,0.1,0.11,18,690,138,0.09,0,3,0,10,2,20,24.06,0.08,0
9960000000039,1520,6,241.44,No,40.24,11,0,0,0,0.4,0,0.41,0,0,0,0,0,0,0.1,0,0.09,7,248,41.33,0.34,0,3,0,0,0,0,43.95,0.08,0
9960000000040,1570,1,214.17,Yes,214.17,11,0,0,0,0.71,0,0,0,0.28,0,0,0,0,0,0,0.01,6,271,271,0.1,1,2,0,0,0,0,58.82,0,0
9960000000041,1532,1,117.99,No,117.99,11,0,0,0.08,0.25,0,0,0,0.49,0,0,0,0,0.16,0,0.02,16,364,364,0.07,0,2,0,4,0,0,34.21,0,0
9960000000042,1523,11,1188.33,No,108.03,16,0.08,0,0.02,0.08,0.13,0.06,0,0.08,0.06,0.13,0,0,0.009078,0.02,0.330922,17,500,45.45,0.06,0,3,0,9,5,55.56,6.88,0.38,0
9960000000043,1527,2,170.48,Yes,85.24,11,0.27,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.01,18,474,237,0.4,0,1,0,9,1,11.11,59.8,0,0
9960000000044,1541,2,282.45,No,141.22,11,0.35,0.05,0,0,0.21,0,0,0,0,0.34,0,0.03,0,0,0.02,19,677,338.5,0.21,0,3,0,6,1,16.67,29.59,0,0
9960000000045,1520,6,512.97,No,85.49,18,0.05,0.19,0,0.01,0.25,0.26,0,0,0.15,0,0,0.02,0.03,0,0.04,18,529,88.16,0.07,0,2,0,7,2,28.57,47.33,0,0
9960000000046,1522,5,833.96,Yes,166.79,16,0.39,0.03,0.03,0.06,0.14,0,0.17,0.11,0,0,0.04,0,0,0,0.03,21,693,138.6,0.18,3,2,0,8,2,25,22.72,0,1
9960000000047,1520,1,234.99,Yes,234.99,11,0.12,0,0,0.16,0,0,0,0,0,0.51,0,0.09,0.1,0,0.02,23,701,701,0,0,1,0,9,1,11.11,32.35,0,1
9960000000048,1564,3,243.43,No,81.14,16,0.55,0.07,0.06,0.1,0,0,0,0,0.2,0,0,0,0,0,0.02,6,363,121,0.18,0,2,0,0,0,0,37.35,0,0
9960000000049,1588,3,459.98,No,153.32,11,0.16,0,0,0.12,0.23,0.13,0,0.14,0.18,0,0,0,0,0,0.04,17,543,181,0.09,0,2,0,7,1,14.29,17.44,0,0
9960000000050,1545,1,232.89,No,232.89,16,0.72,0.19,0,0,0,0,0,0,0,0,0,0.07,0,0,0.02,20,322,322,0,0,2,0,5,0,0,57.57,0,0
9960000000051,95354,4,468.87,No,117.21,11,0,0,0,0,0.51,0,0,0.18,0,0.3,0,0,0,0,0.01,13,314,78.5,0.23,1,3,0,4,1,25,38.72,0,0
9960000000052,3063,3,96.23,No,32.07,11,0,0.1,0,0.2,0.15,0,0,0,0,0,0,0.08,0.09,0.02,0.36,7,344,114.66,0.18,0,3,0,0,0,0,9.65,0.46,0
9960000000053,1612,10,1163.79,Yes,116.37,11,0.3,0.01,0.03,0.04,0.1,0.03,0.07,0.02,0.25,0,0,0,0.03,0.01,0.11,22,607,60.7,0.15,4,3,1,9,3,33.33,19.23,0.06,1
9960000000054,1609,5,257.09,No,51.41,11,0,0,0,0.26,0.25,0.17,0,0,0,0,0,0,0.19,0,0.13,1,269,53.8,0.19,0,2,0,0,0,0,22.43,0.34,0
9960000000055,1606,6,452.46,Yes,75.41,16,0.04,0.05,0.08,0.16,0.19,0,0.21,0.11,0.09,0,0,0,0,0.03,0.04,21,691,115.16,0.19,3,2,0,9,3,33.33,14.52,0,0
9960000000056,1606,1,182.5,No,182.5,11,0.53,0,0,0.13,0,0,0.3,0,0,0,0,0,0,0.02,0.02,10,610,610,0.2,0,1,0,3,0,0,39.85,0,0
9960000000057,1606,5,250.1,Yes,50.02,11,0.26,0.23,0.12,0.13,0.15,0,0.07,0,0,0,0,0,0,0,0.04,8,236,47.2,0.27,1,2,0,2,1,50,19.2,0,0
9960000000058,1609,3,300.94,Yes,100.31,11,0.44,0.13,0,0,0,0,0.29,0,0.11,0,0,0,0,0,0.03,22,546,182,0.33,0,2,0,10,1,10,32.25,0,0
9960000000059,1606,12,1562.3,Yes,130.19,11,0.12,0.03,0.008791,0.23,0.26,0.09,0,0.05,0.06,0,0.08,0,0,0.006948,0.064261,28,689,57.41,0.27,5,3,1,10,6,60,17.22,0.02,0
9960000000060,1602,25,2098.7,No,83.94,16,0.12,0.01,0.006323,0.06,0.23,0.12,0,0.06,0.19,0.05,0,0.01,0.03,0,0.113677,20,685,27.4,0.22,1,5,0,11,8,72.73,14,0.05,0
9960000000061,1606,17,522,Yes,30.7,18,0.06,0.06,0,0.07,0.15,0.14,0.03,0,0,0,0,0.004275,0.02,0.02,0.445725,18,648,38.11,0.29,1,2,0,8,4,50,6.03,0.67,1
9960000000062,1607,2,280.98,No,140.49,11,0,0,0,0.33,0,0.2,0.14,0,0.31,0,0,0,0,0,0.02,4,266,133,0.06,0,2,0,0,0,0,27.43,0,0
9960000000063,1602,2,282.37,Yes,141.18,16,0,0,0,0.06,0.6,0.16,0,0.15,0,0,0,0,0,0,0.03,1,54,27,0.3,1,2,0,0,0,0,65.98,0,1
9960000000064,1602,6,352.89,No,58.81,16,0.15,0.09,0.09,0.05,0.22,0,0.09,0.06,0.2,0,0,0,0,0.004251,0.045749,8,581,96.83,0.34,2,2,0,2,2,100,15.46,0,0
9960000000065,1609,1,116.75,No,116.75,11,0.49,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.01,13,608,608,0.14,0,1,0,7,0,0,75.54,0,0
9960000000066,1605,2,83.97,No,41.98,11,0.49,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.01,8,482,241,0.35,0,1,0,0,0,0,50,0,0
9960000000067,1603,1,79.98,Yes,79.98,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,697,697,0.14,0,1,0,0,0,0,100,0,0
9960000000068,1585,2,127,No,63.5,11,0.46,0,0.3,0.22,0,0,0,0,0,0,0,0,0,0,0.02,11,587,293.5,0.18,0,2,0,6,1,16.67,36.22,0,0
9960000000069,1605,1,137,No,137,11,0,0,0,0.28,0,0,0.71,0,0,0,0,0,0,0,0.01,7,119,119,0,0,1,0,0,0,0,59.27,0,0
9960000000070,1612,2,292.69,Yes,146.34,16,0.39,0,0,0.07,0.24,0,0,0.24,0,0,0,0.03,0,0,0.03,18,689,344.5,0.12,1,2,0,9,2,22.22,28.55,0,1
9960000000071,1606,7,189.08,No,27.01,16,0.15,0.03,0.15,0.03,0.12,0,0.28,0,0,0,0,0.04,0,0,0.2,10,369,52.71,0.34,0,2,0,1,0,0,14.74,0.2,1
9960000000072,1612,1,240,No,240,16,0.2,0,0,0.3,0.28,0,0.2,0,0,0,0,0,0,0,0.02,7,553,553,0.07,0,2,1,1,0,0,25.85,0,0
9960000000073,1603,10,888.87,No,88.88,16,0.11,0.04,0.03,0.12,0.26,0.2,0.14,0.03,0,0,0,0.01,0.03,0,0.03,4,264,26.4,0.25,0,2,0,0,0,0,16.92,0,0
9960000000074,1757,5,674.42,Yes,134.88,16,0.32,0.02,0,0.03,0.08,0,0.09,0.1,0.18,0.11,0,0,0.02,0,0.05,17,676,135.2,0.25,3,2,0,5,1,20,18.03,0,0
9960000000075,1721,5,760.48,Yes,152.09,11,0.08,0.03,0,0.14,0.13,0.22,0.15,0,0.07,0.13,0,0,0,0.006719,0.043281,23,180,36,0.16,1,4,0,9,3,33.33,16.67,0,1
9960000000076,1748,3,507.98,Yes,169.32,16,0.66,0,0,0.12,0,0,0,0,0.17,0,0,0,0.03,0,0.02,19,595,198.33,0.12,0,3,0,9,2,22.22,48.77,0,0
9960000000077,1720,31,3450.58,Yes,111.3,18,0.2,0.01,0.12,0.05,0.19,0.03,0.02,0.05,0,0,0.06,0.009675,0.06,0.00891,0.191415,27,558,18,0.33,4,5,0,9,6,66.67,10.97,0.17,0
9960000000078,1740,1,184.47,No,184.47,11,0.17,0,0,0.06,0.26,0,0,0,0,0.49,0,0,0,0,0.02,10,267,267,0.38,0,1,0,2,0,0,34.9,0,0
9960000000079,1757,3,422.73,Yes,140.91,16,0.22,0,0,0,0,0.16,0.09,0.12,0.39,0,0,0,0,0,0.02,16,634,211.33,0.32,0,4,0,7,1,14.29,25.77,0,0
9960000000080,1740,1,145.67,Yes,145.67,11,0.32,0.5,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0.02,1,73,73,0.4,1,1,0,0,0,0,37.3,0,0
9960000000081,1741,68,4513.58,Yes,66.37,11,0.17,0.02,0.05,0.05,0.05,0.06,0.06,0.04,0.02,0,0.004543,0.01,0.01,0.003071,0.452386,30,686,10.08,0.48,6,9,0,11,8,72.73,5.11,0.64,1
9960000000082,1748,1,431.35,No,431.35,16,0,0,0.09,0.18,0.37,0,0.06,0.13,0.11,0,0,0,0,0.02,0.04,13,478,478,0,0,2,0,7,0,0,21.86,0,0
9960000000083,1720,6,515.21,No,85.86,16,0.17,0,0,0.19,0,0.1,0,0.3,0.08,0,0,0,0,0.06,0.1,15,289,48.16,0.08,0,3,0,4,1,25,28.36,0.07,0
9960000000084,1720,1,88,No,88,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,202,202,0,0,1,0,2,0,0,100,0,0
9960000000085,1867,6,1462.95,Yes,243.82,16,0.1,0.004481,0.04,0.06,0.18,0.14,0.06,0.06,0.14,0.07,0,0,0,0.02,0.125519,23,693,115.5,0.13,3,3,0,10,4,40,11.19,0.07,1
9960000000086,1810,5,315.49,No,63.09,16,0.04,0,0,0,0.24,0.14,0,0,0,0,0.34,0,0,0,0.24,17,433,86.6,0.27,0,3,0,4,0,0,34.94,0.29,0
9960000000087,1864,9,971.91,No,107.99,16,0.14,0.02,0.07,0.04,0.06,0,0.04,0.02,0.05,0,0,0.006029,0.05,0.04,0.463971,22,432,48,0.17,0,2,1,9,4,44.44,4.47,0.7,0
9960000000088,1840,2,246.21,No,123.1,11,0.22,0.01,0.15,0.12,0.15,0,0.09,0,0,0,0,0,0,0.004744,0.255256,14,283,141.5,0.11,0,1,0,4,1,25,12.4,0.28,0
9960000000089,1860,17,1533.13,Yes,90.18,16,0.18,0.02,0.05,0.03,0.11,0,0.05,0.07,0.19,0,0.08,0,0.03,0.006723,0.183277,20,693,40.76,0.13,3,6,0,9,5,55.56,10.76,0.16,1
9960000000090,1801,1,104.48,No,104.48,11,0.43,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0.01,7,246,246,0.15,0,1,0,1,0,0,82.72,0,0
9960000000091,1801,2,144.98,No,72.49,18,0.13,0,0.06,0.24,0,0.2,0,0,0.34,0,0,0,0,0,0.03,6,449,224.5,0.34,0,2,0,0,0,0,24.37,0,1
9960000000092,1876,1,156.49,No,156.49,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,701,701,0.38,0,1,0,2,0,0,100,0,0
9960000000093,1832,3,112.97,No,37.65,18,0,0.09,0,0,0,0.79,0,0,0,0,0,0,0.11,0,0.01,6,493,164.33,0.13,0,1,0,4,0,0,65.52,0,0
9960000000094,1821,9,1339.31,Yes,148.81,16,0.25,0.07,0,0.07,0,0,0.2,0.05,0.16,0,0,0,0.01,0.003174,0.186826,12,673,74.77,0.16,3,4,0,7,4,57.14,14.95,0.17,0
9960000000095,1803,4,385.52,Yes,96.38,16,0.14,0,0.15,0,0.25,0.15,0.09,0.12,0,0,0,0,0.07,0,0.03,18,692,173,0.1,1,2,0,9,0,0,33.21,0,0
9960000000096,1810,2,314.11,Yes,157.05,11,0.26,0.13,0.15,0.13,0,0.18,0,0.05,0,0,0,0,0.06,0,0.04,7,113,56.5,0.31,2,2,0,1,0,0,17.39,0,1
9960000000097,1835,2,138.98,No,69.49,11,0,0,0,0.21,0,0.78,0,0,0,0,0,0,0,0,0.01,4,272,136,0,0,1,0,1,0,0,84.17,0,0
9960000000098,1826,8,2230.93,Yes,278.86,16,0.03,0.006074,0.07,0.17,0.24,0.04,0,0.08,0.21,0.12,0,0,0,0.01,0.023926,23,697,87.12,0.18,5,3,0,10,6,60,16.47,0,0
9960000000099,1860,7,116.47,No,16.63,11,0.32,0,0,0.24,0,0,0.02,0,0,0,0,0,0.04,0,0.38,3,362,51.71,0.27,0,4,0,0,0,0,16.76,0.57,0
9960000000100,1845,3,646.44,Yes,215.48,11,0.13,0,0,0,0.36,0.06,0.11,0,0,0.08,0,0,0,0,0.26,10,635,211.66,0.08,0,1,0,2,1,50,17.81,0.33,0
9960000000101,1844,4,92.73,No,23.18,11,0.46,0.03,0,0,0,0,0.09,0.1,0,0,0,0,0,0,0.32,6,362,90.5,0.29,0,2,0,0,0,0,23.71,0.43,0
9960000000102,1801,2,341.94,No,170.97,11,0.08,0.09,0,0.43,0,0,0.29,0,0,0,0,0,0.08,0,0.03,10,136,68,0.14,0,4,0,1,1,100,30.32,0,0
9960000000103,1844,3,456.93,Yes,152.31,11,0.34,0,0,0,0.05,0.22,0,0,0,0,0.27,0,0,0.1,0.02,24,642,214,0.3,1,1,0,8,1,12.5,25.86,0,1
9960000000104,1844,3,78,No,26,16,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.01,2,581,193.66,0.07,0,2,0,0,0,0,52.66,0,0
9960000000105,1821,2,139.48,No,69.74,11,0.17,0,0,0.28,0,0,0,0.49,0,0,0,0,0,0.04,0.02,8,281,140.5,0.14,0,1,0,0,0,0,48.29,0,0
9960000000106,1821,18,4208.64,Yes,233.81,11,0.24,0.01,0.02,0.02,0.36,0.14,0,0.007212,0.03,0.03,0,0,0.02,0,0.122788,25,701,38.94,0.15,8,2,0,9,4,44.44,22.25,0.08,0
9960000000107,1810,3,319.99,Yes,106.66,11,0,0,0,0.19,0.3,0,0.24,0,0.24,0,0,0,0,0,0.03,17,467,155.66,0,0,1,0,9,2,22.22,35.17,0,0
9960000000108,1860,5,168.99,No,33.79,11,0,0,0,0,0,0,0.12,0,0,0.3,0,0,0,0,0.58,8,581,116.2,0,0,1,1,0,0,0,11.15,1.29,0
9960000000109,1810,1,114.98,No,114.98,11,0,0,0,0,0.69,0,0,0.3,0,0,0,0,0,0,0.01,9,129,129,0,0,1,0,1,0,0,57.65,0,0
9960000000110,1887,3,480.48,No,160.16,16,0.2,0.02,0.04,0.12,0,0,0.49,0,0,0,0,0,0.1,0,0.03,18,391,130.33,0.18,2,4,0,6,2,33.33,31.94,0,0
9960000000111,1841,1,89.97,No,89.97,11,0,0,0,0.26,0,0.73,0,0,0,0,0,0,0,0,0.01,0,59,59,0.4,0,1,0,0,0,0,60.89,0,1
9960000000112,1803,2,111.15,No,55.57,18,0.91,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.01,8,287,143.5,0.58,0,2,0,1,0,0,83.62,0,0
9960000000113,1845,14,965.72,No,68.98,16,0.21,0.04,0.01,0.01,0.11,0.01,0.01,0.02,0,0,0.09,0.007493,0.02,0.005619,0.456888,14,656,46.85,0.28,0,9,0,6,4,66.67,7.18,0.65,0
9960000000114,1876,4,207.47,No,51.86,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,269,67.25,0.25,0,2,0,1,0,0,100,0,0
9960000000115,1879,4,241.92,No,60.48,11,0.03,0.04,0,0.05,0,0,0.12,0.009618,0.35,0,0,0,0.14,0,0.260382,5,98,24.5,0.38,0,2,0,0,0,0,17.19,0.28,0
9960000000116,1887,2,678,No,339,16,0.06,0,0,0.24,0.3,0.19,0.17,0,0,0,0,0,0,0.01,0.03,0,58,29,0,0,2,0,0,0,0,22.49,0,0
9960000000117,1810,5,227.85,Yes,45.57,16,0.09,0.27,0,0.15,0,0,0,0,0,0,0,0.07,0.18,0.09,0.15,12,696,139.2,0.23,0,2,0,3,2,66.67,15.99,0.12,0
9960000000118,1832,6,2093.58,No,348.93,11,0.11,0,0.00716,0.04,0.33,0.09,0.06,0.13,0.14,0,0.04,0,0,0.008588,0.044252,22,530,88.33,0.22,2,4,0,11,5,45.45,18.14,0,0
9960000000119,1844,1,197,No,197,11,0,0,0,0.19,0.5,0.29,0,0,0,0,0,0,0,0,0.02,4,108,108,0,0,1,0,0,0,0,102.46,0,0
9960000000120,1826,6,161.96,No,26.99,11,0.7,0,0,0,0.12,0,0,0.03,0,0,0,0,0.12,0,0.03,25,468,78,0.42,0,4,0,7,1,14.29,53.85,0,0
9960000000121,1801,3,282.43,No,94.14,11,0.27,0,0,0,0.33,0,0.21,0,0,0,0,0,0,0,0.19,17,397,132.33,0.12,0,1,0,4,0,0,23.42,0.2,0
9960000000122,1887,4,206,Yes,51.5,16,0.17,0.16,0.4,0.13,0,0,0,0,0,0,0,0,0,0.06,0.08,9,240,60,0.08,0,2,0,1,0,0,24.3,0.05,0
9960000000123,1863,2,99.95,Yes,49.97,16,0.32,0.19,0,0,0,0,0.47,0,0,0,0,0,0,0,0.02,22,579,289.5,0.41,0,2,0,10,2,20,37.12,0,0
9960000000124,1821,1,133.49,No,133.49,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,299,299,0.15,0,2,0,2,0,0,100,0,0
9960000000125,1867,17,2273.57,Yes,133.73,16,0.41,0,0,0.1,0,0.24,0.04,0.03,0.07,0,0,0,0,0,0.11,24,684,40.23,0.19,6,5,0,9,6,66.67,24.74,0.1,1
9960000000126,1845,1,84.5,No,84.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,268,268,0.42,0,1,0,1,0,0,100,0,0
9960000000127,1890,1,98,No,98,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,523,523,0.27,0,1,0,0,0,0,100,0,0
9960000000128,1821,1,176.97,Yes,176.97,16,0.29,0.08,0.39,0,0,0,0,0,0.2,0,0,0,0,0.02,0.02,14,512,512,0.12,1,2,0,6,0,0,29.3,0,0
9960000000129,1832,2,116,No,58,18,0,0,0,0.31,0,0,0,0,0,0,0,0,0.15,0,0.54,7,310,155,0,0,2,0,2,0,0,12.64,1.1,0
9960000000130,1801,3,192.98,No,64.32,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,264,88,0.31,1,2,0,10,1,10,100,0,0
9960000000131,1867,6,1034.84,Yes,172.47,16,0.1,0.03,0,0,0.18,0.07,0.08,0.09,0.04,0,0.1,0,0,0,0.31,12,232,38.66,0.2,1,3,0,3,2,66.67,8.27,0.35,1
9960000000132,1826,5,1359.44,Yes,271.88,11,0.41,0.007716,0,0.01,0.06,0.26,0.18,0,0,0,0,0.006672,0.02,0,0.045612,23,525,105,0.1,1,1,0,8,2,25,28.94,0,0
9960000000133,1803,1,210,No,210,11,0.22,0,0,0,0.46,0.3,0,0,0,0,0,0,0,0,0.02,9,128,128,0,0,1,0,1,0,0,36.29,0,0
9960000000134,1867,2,68.98,No,34.49,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,446,223,0.2,0,2,0,0,0,0,100,0,0
9960000000135,1970,1,304,No,304,11,0.12,0,0,0,0.32,0.38,0,0.16,0,0,0,0,0,0,0.02,11,186,186,0,0,1,0,2,0,0,76.19,0,0
9960000000136,33606,2,927.74,No,463.87,11,0.1,0,0,0.05,0.43,0.2,0,0.05,0.13,0,0,0,0,0,0.04,18,386,193,0.14,0,1,1,5,1,20,31.6,0,0
9960000000137,1966,2,214.43,Yes,107.21,16,0.69,0.09,0.06,0.13,0,0,0,0,0,0,0,0,0,0,0.03,16,657,328.5,0.29,0,2,0,6,0,0,51.89,0,0
9960000000138,1923,1,77.97,No,77.97,16,0.62,0,0,0,0,0,0.17,0,0,0,0,0,0.19,0,0.02,4,249,249,0.35,0,2,0,0,0,0,46.38,0,0
